name,label,concept,predicateType,group,limit,attributes,required
B08303_001E,Estimate!!Total,TRAVEL TIME TO WORK,int,B08303,0,"B08303_001EA,B08303_001M,B08303_001MA",NA
B08303_002E,Estimate!!Total!!Less than 5 minutes,TRAVEL TIME TO WORK,int,B08303,0,"B08303_002EA,B08303_002M,B08303_002MA",NA
B08303_003E,Estimate!!Total!!5 to 9 minutes,TRAVEL TIME TO WORK,int,B08303,0,"B08303_003EA,B08303_003M,B08303_003MA",NA
B08303_004E,Estimate!!Total!!10 to 14 minutes,TRAVEL TIME TO WORK,int,B08303,0,"B08303_004EA,B08303_004M,B08303_004MA",NA
B08303_005E,Estimate!!Total!!15 to 19 minutes,TRAVEL TIME TO WORK,int,B08303,0,"B08303_005EA,B08303_005M,B08303_005MA",NA
B08303_006E,Estimate!!Total!!20 to 24 minutes,TRAVEL TIME TO WORK,int,B08303,0,"B08303_006EA,B08303_006M,B08303_006MA",NA
B08303_007E,Estimate!!Total!!25 to 29 minutes,TRAVEL TIME TO WORK,int,B08303,0,"B08303_007EA,B08303_007M,B08303_007MA",NA
B08303_008E,Estimate!!Total!!30 to 34 minutes,TRAVEL TIME TO WORK,int,B08303,0,"B08303_008EA,B08303_008M,B08303_008MA",NA
B08303_009E,Estimate!!Total!!35 to 39 minutes,TRAVEL TIME TO WORK,int,B08303,0,"B08303_009EA,B08303_009M,B08303_009MA",NA
B08303_010E,Estimate!!Total!!40 to 44 minutes,TRAVEL TIME TO WORK,int,B08303,0,"B08303_010EA,B08303_010M,B08303_010MA",NA
B08303_011E,Estimate!!Total!!45 to 59 minutes,TRAVEL TIME TO WORK,int,B08303,0,"B08303_011EA,B08303_011M,B08303_011MA",NA
B08303_012E,Estimate!!Total!!60 to 89 minutes,TRAVEL TIME TO WORK,int,B08303,0,"B08303_012EA,B08303_012M,B08303_012MA",NA
B08303_013E,Estimate!!Total!!90 or more minutes,TRAVEL TIME TO WORK,int,B08303,0,"B08303_013EA,B08303_013M,B08303_013MA",NA
